id,domain,family,classification
0,15m1h3fyoclosp5xspl1d57mt4.net,gameover,dga
1,1bwbyrhc08jfk1knfjtpicuf7e.biz,gameover,dga
2,xme4dn1dam8ub1kyotypzn2je5.com,gameover,dga
3,v6552hpksews1hi6kxxqysepw.org,gameover,dga
4,oaj1cd43nf4odtscx81glbfhq.net,gameover,dga
5,17946ja10ter8l9pa63c143vroy.com,gameover,dga
6,v5b9m1i222skej3uy9n2dwzr.com,gameover,dga
7,yv022g160mr81qlgiyv1scxwhf.net,gameover,dga
8,1r20uae13a70sr14bj7xb12qo3un.net,gameover,dga
9,9a7hrbgelypy1v3zex913gea3n.net,gameover,dga
10,1r7zz3e7k4pir1butwfb1woj6x5.com,gameover,dga
11,pg0c2gtdbxef18d10h9el2hr.net,gameover,dga
12,v45jke1hhacb1phi0m41uqkzsr.net,gameover,dga
13,194dvobwqnrptlc8aoo1f7fmef.com,gameover,dga
14,1dcgqp34xyaii14ici0b18u6ycf.com,gameover,dga
15,1fqq7teuahmnlqxvz8f1w8rvs4.com,gameover,dga
16,hkd3nr178fwsf1rf7obe1467kvr.net,gameover,dga
17,dwzrw1nkzyx11m2wyrb160rroc.com,gameover,dga
18,1pd25btta7fwfstwo5jxo8agp.net,gameover,dga
19,6ikajl1csz88x1gyfofy6oam5i.net,gameover,dga
20,1fv9pemy0i5pjtu70qo1vi55l9.biz,gameover,dga
21,1290jei12vbok6ix2vo31bdhk9c.com,gameover,dga
22,wtbmtk8hnl761o0v386lzf005.com,gameover,dga
23,13vkwkreky8vfzcuyk0tvq02f.biz,gameover,dga
24,1k0f4jlntlpyuquloc41ulchow.net,gameover,dga
25,12o9bz71gjj8h51ens5hptagxko.biz,gameover,dga
26,5rro8m5g8ni1382q501xr4pgi.org,gameover,dga
27,1immd63cszigu1yq7b16olge8f.com,gameover,dga
28,ckw4jy1okrmek18wmg816vrtpb.biz,gameover,dga
29,1sxj09d159bb345jc45rni0tx.net,gameover,dga
30,rf8oih12kyxex833mibt8m16.net,gameover,dga
31,1do2qgyk8iuz18lm0drtwp6gv.net,gameover,dga
32,zv36sd3oh2izwy67jtg3ant9.org,gameover,dga
33,1nefjs5cwy3z1p2bj6x1mvlj2z.com,gameover,dga
34,1ij1vj218ov9rcqaix231uuynq1.net,gameover,dga
35,1daqw2o194926w19ju0sfwb5z8f.org,gameover,dga
36,j0qa0n10ahrjw174kep2gv5kpc.com,gameover,dga
37,gn3lyp1slp2lk1yvhtng1a6jac2.net,gameover,dga
38,1ua2klf14aqlq19vuisdybiok1.org,gameover,dga
39,zi7kh61uhq53o4ymw161jyubyo.com,gameover,dga
40,ec5ln81moeh0r14092byz9myw5.net,gameover,dga
41,1an8gau1qdvofqeqynbx1i2m0t9.org,gameover,dga
42,16y3it61vq02rf1tu6qh4fw7v09.net,gameover,dga
43,190ojwr43ettp120nb6mrkqlou.net,gameover,dga
44,1furmip1n5xe3cjhgi4b5x50ms.com,gameover,dga
45,18fcwzc173q127159tv766s3t9i.com,gameover,dga
46,17y7hq418v8aer1yian36go4u7h.net,gameover,dga
47,10yc47h1aca86p18lakhd1ijzvv3.biz,gameover,dga
48,9roq8wqu1e6h2i8w0d16f9ud5.com,gameover,dga
49,j63lq3vc7nwibqsau793ee3w.biz,gameover,dga
50,1y3rc8sfft4sf1ejuaef4fwf0r.org,gameover,dga
51,jz7p4hitkbjswki8w1sy043p.org,gameover,dga
52,eco12a1l5m5o4n2ibrj1144gbc.biz,gameover,dga
53,1fjztp61loe50svsi6z3abke46.org,gameover,dga
54,it4z4s6wzaka1arsg0l106z8pu.biz,gameover,dga
55,1dvrj1w1o4fyzdenj47xgu7jlh.net,gameover,dga
56,1tw2h9g17hx86e14xy3r9rhmpls.com,gameover,dga
57,1qzm0r0faeza51gpnft9f4fagp.net,gameover,dga
58,2zwpt9mjuyc5wpqjyyinwrxy.biz,gameover,dga
59,105it6yn53lmmyk1fvvwev6rn.com,gameover,dga
60,1t6lb3d1k8mgqi16zei0yyfllv2.org,gameover,dga
61,5oi1vf169ty9y12shed4baykg6.net,gameover,dga
62,1bom92s1lalxn9nc4c4he3rs60.biz,gameover,dga
63,12xo2m6six17aohwaj91cwr6d.org,gameover,dga
64,1onh8616cjq1g1jc688o1jubm7k.org,gameover,dga
65,10bsxxf126n6hr1v9vkipginld6.com,gameover,dga
66,37h3wj17ktuur16sepojfxdi33.biz,gameover,dga
67,6kar0o94xynm1ew7j3xcz2p9g.net,gameover,dga
68,fyauprto1g11t8c5urtuslim.net,gameover,dga
69,kzpftqjha8v315g7wy8uukdwj.org,gameover,dga
70,1ooj8cb1xqm7r43h5hsm1ca0weh.com,gameover,dga
71,wjurxt1mz7lddpw0tdjbbfb25.org,gameover,dga
72,1b76m131iblk0hcaadl61npd4wi.biz,gameover,dga
73,u9mv6vg7k3sr2d7w8so7o0h.net,gameover,dga
74,r636lbi4lv6r1pk3vcjrhgsro.biz,gameover,dga
75,1yn8wix22iu7s15fga7kgp9cc8.com,gameover,dga
76,okgg8i1nepby2j6conx5gnn14.com,gameover,dga
77,17sgn11qlfnn9vj7p08zsyfs9.net,gameover,dga
78,e8l7oq3iiyfbvfhg5foybq50.com,gameover,dga
79,1esmzd81o8jne0lqssxj1yhe42y.org,gameover,dga
80,1jpgjpxbbso4r1qujqr7nkx9g0.org,gameover,dga
81,1jmbvde1xxegbs1keqd5rt9baui.com,gameover,dga
82,14z74xb3i7u5jte7hkwrqvknw.net,gameover,dga
83,1seub6d1afif5h1ciox6g11yzjd1.org,gameover,dga
84,ntnlpt1dvbj5g83ezyy1jcb2uc.net,gameover,dga
85,3c4qa0w6eb9ryncl8q1b43u8g.com,gameover,dga
86,13iy5ym1dw2bf5fl9l5a12kyi41.net,gameover,dga
87,3iwtkp1d2luxa13iryedat1bp0.net,gameover,dga
88,1h5x53b1816u151umtyu2cl9lpp.net,gameover,dga
89,vab0jp8581bxoqcsluv3si4b.com,gameover,dga
90,1s26kcpt99hqipv3hhk4mtqo9.net,gameover,dga
91,q55lkn1r5mw5n1j2zaog1mc8f4i.net,gameover,dga
92,1271ha21bsazlz10mrzog1omeiq9.biz,gameover,dga
93,11uh4331y645k519rixssz4phvn.net,gameover,dga
94,zfwvj51p2226h2i7hf3w0ett0.org,gameover,dga
95,aol4he2nu0cv1yl83icylzjhn.net,gameover,dga
96,1iqy48m1s51e7f68rt1f18g3ebl.biz,gameover,dga
97,1xjkv67ilr3av19gq1o28c4vvw.net,gameover,dga
98,etu8zgkayktz1eg4bro1uqyov3.com,gameover,dga
99,7sc25qsue9p91tblumq10gm452.com,gameover,dga
100,i8gwnr1tn3dk59zifw91rbphhd.org,gameover,dga
101,mwkky717ie29o11svfky1ykytsx.net,gameover,dga
102,df2p921oodnm01szxsutqgkjwp.net,gameover,dga
103,1maxlb61bdsslbp90nl11sevmv2.org,gameover,dga
104,1ddvqqhq3o5iq12m695zsjpg6y.net,gameover,dga
105,13nppbtpwxo53nm4mf91wil2qd.net,gameover,dga
106,z8d1ns116pea81fsb7ao148o74d.biz,gameover,dga
107,134qusv1ugvx7pgky1c28dnu0x.net,gameover,dga
108,vfoot7ex1arl8ua1cnaif5ce.org,gameover,dga
109,1d82erjjcag5j1heny52ie2man.biz,gameover,dga
110,19rdqd05zdvi6h6dbeq1kkx26a.org,gameover,dga
111,3fxrhx1volvdtte3b8d4lb9rc.biz,gameover,dga
112,1r8t1g710yoco8fmved38ogpx5.biz,gameover,dga
113,i2lhb51pcp0p8hpkap1bmcp3s.net,gameover,dga
114,j83flf14qnt61pmc5lz4ipxbk.com,gameover,dga
115,8a8r761i95oot122rumop2le2q.biz,gameover,dga
116,2myvua1kt9qao1u37kagmm8c3h.net,gameover,dga
117,14zgrek1hin43o12kq6c3akex6t.net,gameover,dga
118,svgjveewshrawocv3q16iphy6.net,gameover,dga
119,14romdc4qy71x15yvmbr1r1mogr.com,gameover,dga
120,1s1f8ff1whambxwn3iuvn1z5bl.net,gameover,dga
121,11k5arkiavl045dh3c41h2l5tf.org,gameover,dga
122,ptw9y715800qpeukgjbb6dn04.biz,gameover,dga
123,1v32ps01f5tp361xo1ytq1bgnavp.net,gameover,dga
