id,domain,classification,split
0,creativeboom.com,0,train
1,ajc.com,0,train
2,native-land.ca,0,train
3,tagesschau.de,0,train
4,heritage.org,0,train
5,prntscr.com,0,train
6,uptodown.com,0,train
7,fernuni-hagen.de,0,train
8,leg.br,0,train
9,mihoyo.com,0,train
10,court.gov.cn,0,train
11,huicopper.com,0,train
12,nta.co.jp,0,train
13,hu-berlin.de,0,train
14,skysports.com,0,train
15,nab.com.au,0,train
16,thv11.com,0,train
17,sitemeter.com,0,train
18,xanga.com,0,train
19,csoonline.com,0,train
20,carbuzz.com,0,train
21,rubiconproject.com,0,train
22,mercdn.net,0,train
23,espn.in,0,train
24,ionos.com,0,train
25,musicnotes.com,0,train
26,google.nl,0,train
27,kyivpost.com,0,train
28,irna.ir,0,train
29,ucas.com,0,train
30,machinelearningmastery.com,0,train
31,upm.es,0,train
32,ashrae.org,0,train
33,bustle.com,0,train
34,nd.edu,0,train
35,sfchronicle.com,0,train
36,iwkoeln.de,0,train
37,onlineconversion.com,0,train
38,amazon.nl,0,train
39,insideevs.com,0,train
40,gmail.com,0,train
41,zagg.com,0,train
42,google.bf,0,train
43,qunitjs.com,0,train
44,wayne.edu,0,train
45,bart.gov,0,train
46,dx.com,0,train
47,serverfault.com,0,train
48,coop.br,0,train
49,fastpriligy.top,0,train
50,hmc.edu,0,train
51,chatelaine.com,0,train
52,superpcenginegrafx.net,0,train
53,openbsd.org,0,train
54,sega.jp,0,train
55,filmlinc.org,0,train
56,xiaoeknow.com,0,train
57,uxpin.com,0,train
58,t.co,0,train
59,bureauveritas.com,0,train
60,lexology.com,0,train
61,idea.int,0,train
62,imgflip.com,0,train
63,jade-crack.com,0,train
64,google.cz,0,train
65,firsturl.de,0,train
66,betanews.com,0,train
67,obdev.at,0,train
68,doodleordie.com,0,train
69,buecher.de,0,train
70,freepeople.com,0,train
71,ielts.org,0,train
72,hkex.com.hk,0,train
73,icq.com,0,train
74,zyxel.com,0,train
75,targetblogs.com,0,train
76,rozhlas.cz,0,train
77,webring.com,0,train
78,bookdepository.com,0,train
79,newswire.ca,0,train
80,familyhandyman.com,0,train
81,roomstyler.com,0,train
82,koin.com,0,train
83,prisonpolicy.org,0,train
84,nakedcapitalism.com,0,train
85,hklaw.com,0,train
86,gogetfunding.com,0,train
87,writeablog.net,0,train
88,spec.org,0,train
89,cabi.org,0,train
90,sky.it,0,train
91,prnasia.com,0,train
92,xfire.com,0,train
93,news-journal.com,0,train
94,blogher.com,0,train
95,gaiaathome.eu,0,train
96,justjaredjr.com,0,train
97,untappd.com,0,train
98,rospotrebnadzor.ru,0,train
99,defillama.com,0,train
100,91mobiles.com,0,train
101,sussexexpress.co.uk,0,train
102,mobileworldlive.com,0,train
103,he.wikipedia.org,0,train
104,epson.com,0,train
105,planalto.gov.br,0,train
106,ecfr.gov,0,train
107,dart.dev,0,train
108,kp.ru,0,train
109,menshealth.com,0,train
110,gupy.io,0,train
111,aeroflot.ru,0,train
112,youku.com,0,train
113,hosting.com,0,train
114,pnnl.gov,0,train
115,realme.com,0,train
116,pons.com,0,train
117,bgs.ac.uk,0,train
118,gettingthingsdone.com,0,train
119,nationmaster.com,0,train
120,lodz.pl,0,train
121,plesk.page,0,train
122,urbanspoon.com,0,train
123,itun.es,0,train
124,tradeinn.com,0,train
125,talent.com,0,train
126,cookieconsent.com,0,train
127,uni-goettingen.de,0,train
128,rbb24.de,0,train
129,sunset.com,0,train
130,pawspice.com,0,train
131,phoca.cz,0,train
132,ulimep.com,0,train
133,prowly.com,0,train
134,infoabilify.com,0,train
135,kent.ac.uk,0,train
136,about.google,0,train
137,globalworkplaceanalytics.com,0,train
138,civileats.com,0,train
139,eurail.com,0,train
140,fao.org,0,train
141,flipkart.com,0,train
142,photographylife.com,0,train
143,interregeurope.eu,0,train
144,tokyometro.jp,0,train
145,turtlebeach.com,0,train
146,unirioja.es,0,train
147,tatler.com,0,train
148,zappos.com,0,train
149,yesmagazine.org,0,train
150,denvergov.org,0,train
151,canadiantire.ca,0,train
152,webshopapp.com,0,train
153,tvp.pl,0,train
154,amnestyusa.org,0,train
155,pandora.com,0,train
156,sigsauer.com,0,train
157,mbs.jp,0,train
158,wa.gov.au,0,train
159,hol.es,0,train
160,gambling.com,0,train
161,ice.com,0,train
162,umm.ac.id,0,train
163,kyobobook.co.kr,0,train
164,classaction.org,0,train
165,aninews.in,0,train
166,u-bourgogne.fr,0,train
167,fiercepharma.com,0,train
168,rarible.com,0,train
169,dawanda.com,0,train
170,google.sn,0,train
171,embedsocial.com,0,train
172,dolphins-pearl-slot.com,0,train
173,wga.hu,0,train
174,nysun.com,0,train
175,moa.gov.cn,0,train
176,alldatasheet.com,0,train
177,ig.com,0,train
178,whatbrowser.org,0,train
179,thieme-connect.com,0,train
180,uofmhealth.org,0,train
181,uscis.gov,0,train
182,hostelworld.com,0,train
183,startupxplore.com,0,train
184,silverchair.com,0,train
185,anwalt.de,0,train
186,theoceancleanup.com,0,train
187,slashgear.com,0,train
188,53kf.com,0,train
189,americanheritage.com,0,train
190,sitejot.com,0,train
191,mentalhelp.net,0,train
192,earth.li,0,train
193,suzuki.co.jp,0,train
194,detnews.com,0,train
195,roberthalf.com,0,train
196,aba.com,0,train
197,themedia.jp,0,train
198,nate.com,0,train
199,tutsplus.com,0,train
200,philips.co.uk,0,train
201,beaconjournal.com,0,train
202,blackbaudhosting.com,0,train
203,anthology.com,0,train
204,jimcdn.com,0,train
205,woobox.com,0,train
206,facs.org,0,train
207,cityam.com,0,train
208,flippa.com,0,train
209,telltale.com,0,train
210,universal-music.co.jp,0,train
211,archive.fo,0,train
212,passion-games.com,0,train
213,foobar2000.org,0,train
214,mastercard.com,0,train
215,amherst.edu,0,train
216,soundhound.com,0,train
217,stephenwolfram.com,0,train
218,goldmansachs.com,0,train
219,histats.com,0,train
220,care.org,0,train
221,cs.wikipedia.org,0,train
222,uncw.edu,0,train
223,sjtu.edu.cn,0,train
224,carhartt.com,0,train
225,buzzsprout.com,0,train
226,airliquide.com,0,train
227,anz.com.au,0,train
228,hc360.com,0,train
229,amazon.es,0,train
230,jreast.co.jp,0,train
231,wwltv.com,0,train
232,originality-diplomas.com,0,train
233,mit.edu,0,train
234,uni-trier.de,0,train
235,segodnya.ua,0,train
236,wjx.cn,0,train
237,lc.chat,0,train
238,njtransit.com,0,train
239,hunan.gov.cn,0,train
240,democracynow.org,0,train
241,csublogs.com,0,train
242,zoloftnew.com,0,train
243,digital.ai,0,train
244,sustrans.org.uk,0,train
245,tut.by,0,train
246,voila.fr,0,train
247,kare11.com,0,train
248,thispersondoesnotexist.com,0,train
249,sigmaaldrich.com,0,train
250,constitutioncenter.org,0,train
251,gulfnews.com,0,train
252,homestead.com,0,train
253,mandiant.com,0,train
254,developpez.com,0,train
255,confluent.io,0,train
256,linkpop.com,0,train
257,woot.com,0,train
258,rnd.de,0,train
259,viva.co.id,0,train
260,honda.com,0,train
261,uic.edu,0,train
262,bloglines.com,0,train
263,gamer.com.tw,0,train
264,cninfo.com.cn,0,train
265,kyoto.jp,0,train
266,spaceflightnow.com,0,train
267,imfdb.org,0,train
268,mybroadband.co.za,0,train
269,ctan.org,0,train
270,ozerov.de,0,train
271,kens5.com,0,train
272,ifo.de,0,train
273,editmysite.com,0,train
274,bitauto.com,0,train
275,portent.com,0,train
276,celebrex365o24.com,0,train
277,adlibris.com,0,train
278,kenpai.com,0,train
279,creditchina.gov.cn,0,train
280,imdb.com,0,train
281,sch.gr,0,train
282,houstonchronicle.com,0,train
283,epa.gov,0,train
284,afip.gob.ar,0,train
285,gq-magazin.de,0,train
286,wisebread.com,0,train
287,williamhill.com,0,train
288,humankinetics.com,0,train
289,informatica.com,0,train
290,slack.com,0,train
291,kiwi.com,0,train
292,cftc.gov,0,train
293,lacrossetribune.com,0,train
294,stocksy.com,0,train
295,pixilart.com,0,train
296,amazon.jobs,0,train
297,pogo.com,0,train
298,cnnindonesia.com,0,train
299,yesware.com,0,train
300,currentaffairs.org,0,train
301,fpf.org,0,train
302,minutemediacdn.com,0,train
303,boj.or.jp,0,train
304,gamedev.net,0,train
305,alltheweb.com,0,train
306,ixl.com,0,train
307,mastersportal.com,0,train
308,klout.com,0,train
309,vhx.tv,0,train
310,occ.gov,0,train
311,kingranks.com,0,train
312,nationaljournal.com,0,train
313,boe.es,0,train
314,sfasu.edu,0,train
315,euractiv.com,0,train
316,glucophagea7.com,0,train
317,uca.es,0,train
318,ghsa.org,0,train
319,webdesignerdepot.com,0,train
320,unr.edu,0,train
321,accounting-services.net,0,train
322,glastonburyfestivals.co.uk,0,train
323,tvfanatic.com,0,train
324,usepharmedu.com,0,train
325,aas.org,0,train
326,sportscasting.com,0,train
327,static.mercdn.net,0,train
328,cryptoslate.com,0,train
329,ozy.com,0,train
330,vogue.co.uk,0,train
331,metalinjection.net,0,train
332,rackspace.com,0,train
333,1und1.de,0,train
334,bitspower.com,0,train
335,interfax.com.ua,0,train
336,desjardins.com,0,train
337,sans.org,0,train
338,leafletjs.com,0,train
339,optusnet.com.au,0,train
340,guim.co.uk,0,train
341,uchicagomedicine.org,0,train
342,thetrainline.com,0,train
343,lumen.com,0,train
344,usta.com,0,train
345,infrastructure.gov.au,0,train
346,umi.com,0,train
347,waterstones.com,0,train
348,warwick.ac.uk,0,train
349,kinsta.com,0,train
350,peopleapp.com,0,train
351,ldoceonline.com,0,train
352,onlineslot-nodeposit.com,0,train
353,berklee.edu,0,train
354,inquirer.com,0,train
355,vibrometro1a.com,0,train
356,thebetterindia.com,0,train
357,hotjar.com,0,train
358,surlatable.com,0,train
359,nic.cz,0,train
360,malaysiakini.com,0,train
361,siriusxm.com,0,train
362,streeteasy.com,0,train
363,institutionalinvestor.com,0,train
364,earthday.org,0,train
365,ccrjustice.org,0,train
366,biglots.com,0,train
367,salon.com,0,train
368,sina.com,0,train
369,rin.ru,0,train
370,nts.org.uk,0,train
371,londonist.com,0,train
372,ephotozine.com,0,train
373,52pojie.cn,0,train
374,gp.se,0,train
375,xdomain.jp,0,train
376,nasm.org,0,train
377,sharebyblog.com,0,train
378,ajc.org,0,train
379,clark.com,0,train
380,the7.io,0,train
381,couchsurfing.org,0,train
382,wsimg.com,0,train
383,prudential.com,0,train
384,futuremarketinsights.com,0,train
385,wsvn.com,0,train
386,kaptest.com,0,train
387,tum.de,0,train
388,elifesciences.org,0,train
389,texasattorneygeneral.gov,0,train
390,fl.us,0,train
391,atlantico.fr,0,train
392,apnews.com,0,train
393,cair.com,0,train
394,komen.org,0,train
395,boston.com,0,train
396,docdro.id,0,train
397,cargocollective.com,0,train
398,maricopa.gov,0,train
399,vcahospitals.com,0,train
400,glory-casino-online.com,0,train
401,nalog.gov.ru,0,train
402,atom.com,0,train
403,cve.org,0,train
404,books.google.com,0,train
405,mohrss.gov.cn,0,train
406,niche.com,0,train
407,psychiatry.org,0,train
408,scotiabank.com,0,train
409,commerzbank.de,0,train
410,otempo.com.br,0,train
411,majestic12.co.uk,0,train
412,fastmail.com,0,train
413,cloudwards.net,0,train
414,typeset.io,0,train
415,home.barclays,0,train
416,fastpic.ru,0,train
417,bigsight.jp,0,train
418,eiu.edu,0,train
419,bloggactivo.com,0,train
420,edgewall.org,0,train
421,asos.com,0,train
422,greentechmedia.com,0,train
423,scifi.com,0,train
424,que.es,0,train
425,denic.de,0,train
426,bol.com,0,train
427,postheaven.net,0,train
428,webwiki.nl,0,train
429,turbopages.org,0,train
430,webcom.com,0,train
431,tapinto.net,0,train
432,football.london,0,train
433,ic.ac.uk,0,train
434,nch.com.au,0,train
435,js.cn,0,train
436,myapple.pl,0,train
437,thoracic.org,0,train
438,toei-anim.co.jp,0,train
439,bafa.de,0,train
440,publishersweekly.com,0,train
441,justdial.com,0,train
442,blibli.com,0,train
443,travelchinaguide.com,0,train
444,lmu.edu,0,train
445,gratisafhalen.be,0,train
446,gbnews.com,0,train
447,mvps.org,0,train
448,motorolasolutions.com,0,train
449,onemileatatime.com,0,train
450,gnavi.co.jp,0,train
451,artscouncil.org.uk,0,train
452,myrecipes.com,0,train
453,zjol.com.cn,0,train
454,diggerslist.com,0,train
455,edmunds.com,0,train
456,mindtools.com,0,train
457,fairvote.org,0,train
458,dilbert.com,0,train
459,wilko.com,0,train
460,flock.com,0,train
461,olympic.org,0,train
462,overdrive.com,0,train
463,feedreader.com,0,train
464,pyridostigmine0x7.com,0,train
465,life3dblog.com,0,train
466,creativemarket.com,0,train
467,bannerhealth.com,0,train
468,8k.com,0,train
469,lua.org,0,train
470,srcdn.com,0,train
471,mos.ru,0,train
472,aacu.org,0,train
473,unisg.ch,0,train
474,telemadrid.es,0,train
475,cafonline.com,0,train
476,runescape.wiki,0,train
477,ualr.edu,0,train
478,weblate.org,0,train
479,bankofengland.co.uk,0,train
480,simplecast.com,0,train
481,worldwildlife.org,0,train
482,google.com.sl,0,train
483,blogocial.com,0,train
484,jugendherberge.de,0,train
485,gocomics.com,0,train
486,zanaflex365.com,0,train
487,casibom-giris.org,0,train
488,anydesk.com,0,train
489,ucr.ac.cr,0,train
490,aon.com,0,train
491,caringbridge.org,0,train
492,vienna.at,0,train
493,widencdn.net,0,train
494,aut.ac.nz,0,train
495,builtwith.com,0,train
496,kansascity.com,0,train
497,prokerala.com,0,train
498,hateblo.jp,0,train
499,usp.org,0,train
500,projets-web.net,0,train
501,the74million.org,0,train
502,12ft.io,0,train
503,bleacherreport.net,0,train
504,stcloudstate.edu,0,train
505,dartmouth.edu,0,train
506,seetickets.com,0,train
507,weedmaps.com,0,train
508,jvc.com,0,train
509,atlasobscura.com,0,train
510,intensedebate.com,0,train
511,loto-kz.org,0,train
512,union.edu,0,train
513,cryptonews.com,0,train
514,taschen.com,0,train
515,writexo.com,0,train
516,omniglot.com,0,train
517,blip.fm,0,train
518,ksl.com,0,train
519,focusfeatures.com,0,train
520,guidingtech.com,0,train
521,onsugar.com,0,train
522,fosters.com,0,train
523,izotope.com,0,train
524,compuserve.com,0,train
525,solecollector.com,0,train
526,mastercard.fr,0,train
527,santepubliquefrance.fr,0,train
528,ifstudies.org,0,train
529,nysenate.gov,0,train
530,riken.jp,0,train
531,home.ne.jp,0,train
532,marketrealist.com,0,train
533,unwomen.org,0,train
534,nasaspaceflight.com,0,train
535,moj.gov.cn,0,train
536,tailscale.com,0,train
537,mxtoolbox.com,0,train
538,bloombergtax.com,0,train
539,uthscsa.edu,0,train
540,iis.net,0,train
541,motortrend.com,0,train
542,encyclopedia.com,0,train
543,finsmes.com,0,train
544,calgaryherald.com,0,train
545,traileraddict.com,0,train
546,newsbloger.com,0,train
547,mcall.com,0,train
548,dubizzle.com,0,train
549,observador.pt,0,train
550,oneplus.com,0,train
551,uchealth.org,0,train
552,blogspot.ca,0,train
553,redcross.org.au,0,train
554,tv-tv-lv.org,0,train
555,ghostery.com,0,train
556,ngs.ru,0,train
557,dvdvideosoft.com,0,train
558,therealdeal.com,0,train
559,definitions.net,0,train
560,univ-tours.fr,0,train
561,invisionfree.com,0,train
562,auth0.com,0,train
563,motorsport.com,0,train
564,booksamillion.com,0,train
565,meta.com,0,train
566,lerablog.org,0,train
567,israelnightclub.com,0,train
568,alaska.edu,0,train
569,calstate.edu,0,train
570,ul.ie,0,train
571,cmaj.ca,0,train
572,acnur.org,0,train
573,thueringen.de,0,train
574,thecanadianencyclopedia.ca,0,train
575,wi-fi.org,0,train
576,cjr.org,0,train
577,thesmokinggun.com,0,train
578,eaton.com,0,train
